2988540236,2988540239,"6.95"""
460601344,460602367,Afghanistan
982745088,982753279,Afghanistan
1023787008,1023791103,Afghanistan
1249267712,1249268735,Afghanistan
1347295073,1347295079,Afghanistan
1389218816,1389219839,Afghanistan
1533925376,1533927423,Afghanistan
1728424960,1728425983,Afghanistan
1728431104,1728431615,Afghanistan
1728538624,1728539647,Afghanistan
1728864256,1728865279,Afghanistan
1728921600,1728922623,Afghanistan
1728976896,1728977151,Afghanistan
1729097216,1729097727,Afghanistan
1729182720,1729183743,Afghanistan
1729209600,1729210367,Afghanistan
1729273856,1729274879,Afghanistan
1729569792,1729570815,Afghanistan
1729623808,1729624063,Afghanistan
1729922560,1729923071,Afghanistan
1730054400,1730055167,Afghanistan
1730742272,1730742783,Afghanistan
1730805760,1730806783,Afghanistan
1742765824,1742766079,Afghanistan
1742788096,1742788607,Afghanistan
1742854144,1742855167,Afghanistan
1742934016,1742935039,Afghanistan
1743191040,1743192063,Afghanistan
1743226880,1743227647,Afghanistan
1743358976,1743359487,Afghanistan
1743369984,1743370239,Afghanistan
1743499264,1743500287,Afghanistan
1743606528,1743606783,Afghanistan
1743887360,1743888383,Afghanistan
1743925760,1743926271,Afghanistan
1744024320,1744024575,Afghanistan
1744081408,1744081919,Afghanistan
1744291328,1744291583,Afghanistan
1744547840,1744548863,Afghanistan
1744741888,1744742143,Afghanistan
1870501888,1870503935,Afghanistan
1876947968,1876948991,Afghanistan
1966587904,1966588159,Afghanistan
1966588416,1966590975,Afghanistan
1966591232,1966591999,Afghanistan
1969807360,1969809407,Afghanistan
2000375808,2000376319,Afghanistan
2000376576,2000377343,Afghanistan
2000377600,2000377855,Afghanistan
2036609024,2036611071,Afghanistan
2038374400,2038382591,Afghanistan
2093445120,2093449215,Afghanistan
2111160320,2111168511,Afghanistan
2150203392,2150236159,Afghanistan
2617172224,2617172479,Afghanistan
2737807360,2737808383,Afghanistan
2942967808,2942975999,Afghanistan
774162909,774162913,Aland Islands
1334116352,1334124543,Aland Islands
1388814336,1388822015,Aland Islands
1402129920,1402130175,Aland Islands
1465714688,1465714943,Aland Islands
521547776,521551871,Albania
522993664,522997759,Albania
531339264,531341311,Albania
534652928,534654975,Albania
622477312,622479359,Albania
622481408,622483455,Albania
623067136,623069183,Albania
629895168,629897215,Albania
773054464,773055231,Albania
773055488,773055871,Albania
773056256,773056511,Albania
778240000,778242815,Albania
778243328,778244095,Albania
778244352,778245119,Albania
778245376,778249727,Albania
778249984,778304305,Albania
778304307,778305535,Albania
783775744,783777791,Albania
784169216,784169231,Albania
788275200,788279295,Albania
788500480,788502527,Albania
1307709440,1307713535,Albania
1308055552,1308057599,Albania
1331851264,1331853311,Albania
1332346880,1332412415,Albania
1336619008,1336621055,Albania
1347305472,1347309567,Albania
1347461120,1347465215,Albania
1348096000,1348100095,Albania
1348169728,1348173823,Albania
1360709632,1360711679,Albania
1383219200,1383223295,Albania
1383223552,1383225983,Albania
1383226008,1383226207,Albania
1383226240,1383227391,Albania
1401503488,1401503743,Albania
1410613248,1410621439,Albania
1539006464,1539014655,Albania
1540524032,1540525055,Albania
1541594112,1541594367,Albania
1541864960,1541865471,Albania
1547440128,1547444223,Albania
1570750464,1570752511,Albania
1585278976,1585281023,Albania
1600880640,1600913407,Albania
1753254912,1753255167,Albania
1755840000,1755840255,Albania
